accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.24922833,-1.2666492,10.048091,0.91056824,0.37782288,0.30371094
0.3309138,-0.6779837,10.058626,0.969162,0.25372314,0.46669006
-1.508897,0.5389035,7.7283425,0.7326813,1.1586609,0.8224945
-7.0269985,-2.3159497,10.9136305,0.5473175,0.552536,0.45178223
0.1176399,0.8453479,14.588094,0.18618774,-0.070114136,-0.18844604
-0.09481852,-2.6248295,13.684004,-1.8639069,0.571167,-0.42333984
0.61176056,-2.9274325,13.318736,-3.1214447,-0.5958252,-1.1194916
0.15994576,-2.265746,13.599304,-3.0101318,1.1464081,-1.0827332
-2.2348564,-1.2891355,12.70203,-2.3011932,-1.3803864,-2.494217
0.04870662,-0.6545844,4.412796,-3.4207916,-3.8651276,-1.6728973
1.8536185,-0.05002594,4.580831,-2.4354248,-2.4627075,-0.69711304
1.9576437,0.5287698,5.322404,-0.82740784,-1.2051544,0.1289978
1.0093046,1.9426678,5.061033,0.8764801,-0.6038208,0.33299255
1.7240598,4.7617946,3.6211588,2.5665283,0.010848999,0.68826294
0.9121784,8.765229,10.385455,2.4893036,-0.46746826,0.89120483
8.291897,10.3074875,22.998133,-0.44869995,0.4492035,-0.84358215
3.0630412,-6.4321785,6.5950584,-0.42686462,-0.1020813,0.9924011
-0.26207694,-2.698423,7.912035,1.4666443,1.3110046,-0.82388306
2.5153532,1.0200362,9.817084,2.2410889,1.956543,0.018218994
-1.3650565,-6.08679,6.4294047,2.4610596,1.9389648,0.5545807
1.2413063,0.41522098,7.9853845,1.7936859,0.3208313,0.05709839
-1.2042915,-0.2934686,9.615595,0.96650696,1.2012787,0.11141968
-1.7294664,-0.6716453,8.986961,1.079422,0.82203674,0.14497375
-0.09703532,-0.59811085,10.656583,1.1822205,0.12535095,0.60943604
0.42075014,1.9982624,9.892279,0.9425354,0.59513855,0.84165955
-8.241853,-0.5934139,10.605713,0.41789246,0.6899414,0.37879944
-2.2655895,-0.93074024,14.670741,0.29911804,-0.7465668,-0.33439636
4.556862,-1.7581651,12.511723,-2.0828247,0.08540344,-0.52827454
0.5235067,-3.64883,14.499452,-3.4016113,-0.024307251,-0.9000397
-1.1863986,-2.4367962,13.240004,-3.1645966,0.98928833,-1.1967163
-1.0377382,-1.9467418,8.980127,-2.9467468,-2.9569855,-1.8326874
-1.3261993,1.4791712,5.58681,-3.5006866,-4.0078735,-1.6830139
3.4949548,-0.2524535,4.1652217,-2.267105,-2.3236847,-0.84465027
1.8164922,-0.042719483,5.178523,-0.671875,-1.0363159,-0.094177246
1.6907694,2.0797172,4.0679865,1.7670441,-0.25706482,0.27334595
