accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-3.1344514,-0.7983006,2.7205017,1.2784882,-7.0726776,1.7649841
-1.6598618,-3.2910957,1.6496742,-0.46055603,-2.779663,-0.4257202
1.4322395,-4.0593386,-1.4850649,-1.5119629,-0.39666748,0.2874756
22.1712,12.810499,8.59163,-1.3383331,2.1178894,0.79933167
7.58492,-0.04167843,33.408165,0.2989807,-1.0661774,1.8475494
-1.81658,-2.5683222,0.57185304,1.6246948,-2.5660706,-2.2910004
2.3225298,-2.8025458,10.004902,0.15090942,2.2664948,-1.7461243
-6.101364,-6.0272703,10.429517,-2.4185028,8.516937,-1.6507874
-4.514593,-1.6661322,19.283932,-0.6917114,4.9562836,-1.0765991
-0.75476706,2.4094465,6.719143,-1.4944,2.1812744,0.2501831
-1.0860021,2.026655,7.52602,-1.5300751,1.4228058,-0.61161804
-0.9679135,1.8492721,9.054515,-1.1322021,-0.47335815,-0.5274658
-1.6157922,-0.30338734,8.13255,-0.7843933,0.806015,-0.3138733
-0.17944586,-1.2818327,7.4509354,-1.2366028,1.281662,-0.86302185
1.3566885,3.1127067,13.074724,-0.9937134,0.50987244,-1.0723419
-3.5362484,5.498508,10.227863,0.21801758,0.16313171,-0.4741974
-3.4107275,7.1321564,14.590601,0.4971161,-2.7205353,1.1551208
-7.447795,-0.8537526,12.399907,0.5636902,-4.0446625,0.54685974
-6.129101,-7.0010324,22.715296,3.0713348,-1.0331573,1.6472778
5.0867553,-8.709037,15.014283,3.4473724,-2.4787292,0.52130127
-0.9598729,-0.68315536,6.6694856,0.575943,-1.9636688,-0.16847229
-4.0739512,-1.1748078,7.250026,1.5687714,-1.8699188,3.0576935
-2.7130408,-0.97515863,2.0454223,1.4782257,-5.3996735,1.0193024
-1.3277975,-3.6191566,1.3322217,-0.32206726,-2.4968262,-0.52586365
3.1637187,-2.3121076,-1.3495805,-1.7846832,0.25474548,0.19639587
24.520832,16.241798,11.094178,-1.6078491,2.2776794,0.26509094
8.032858,-0.78955555,23.70842,0.35810852,-2.2294464,1.651001
-10.697289,-1.859272,-0.14874697,1.0878143,-1.5327759,-2.0028534
2.05446,-4.577563,12.492254,0.28193665,1.6353302,-2.2920685
-5.501466,-5.0656204,10.899606,-2.3455353,8.137711,-1.6598358
-3.792871,-0.63475186,17.569904,-0.5548248,3.225769,-0.90509033
-2.053149,1.555321,5.665381,-1.3788147,2.1669006,0.029144287
0.88326335,2.5068974,7.8456435,-1.7260895,2.5748901,-0.41241455
