accelX,accelY,accelZ,gyroX,gyroY,gyroZ
1.1074278,7.024772,14.164864,0.51657104,0.75883484,0.60061646
1.597766,6.0913234,10.42118,-0.38038635,0.08932495,-0.11204529
0.23890156,-3.1357737,11.5795555,-0.6104889,-0.0438385,-1.6513519
1.5539371,3.3526707,17.46018,-1.1825256,-0.8992462,-1.9656067
-0.27838194,-2.7634292,15.097301,-1.4877319,0.40570068,-1.811676
0.47333834,1.1910899,8.35096,-2.1822815,-1.0372009,-1.6502991
-0.66033787,0.51783574,5.4365916,-1.5798798,-0.9706116,-1.5208588
-1.5318439,0.58926904,3.4466162,-1.6416626,-2.8726501,-0.9967499
0.80992293,-0.541971,2.2102964,-0.17745972,-2.1908722,-0.23242188
3.1962662,1.9509407,6.606989,0.868103,-1.4457245,0.3955536
9.984788,6.214395,12.135143,0.37382507,-1.5410614,0.49035645
7.823926,6.142975,17.428242,-0.88319397,-0.4156189,-0.21858215
7.353233,3.270585,6.549366,-0.40596008,0.12660217,-0.64894104
2.6669497,-4.174202,20.299582,1.1461334,0.8632355,0.7907562
4.426423,-2.0564597,5.7688584,0.977829,0.49092102,-0.072631836
-0.7648851,-0.3662889,11.058446,2.8153992,2.1948242,1.1390991
-1.0212336,2.121624,5.0523295,1.7085876,1.2866821,0.76945496
-0.39686805,-2.5473683,5.60891,1.7693176,1.3229065,1.2174072
1.6841248,5.823528,10.906861,1.3661194,1.6355591,1.2850494
0.20868123,4.53465,9.08727,0.7440033,1.0043793,1.0826416
0.72870135,5.810845,11.863393,0.7040558,0.7673645,1.1066132
1.6000094,4.4229527,12.570697,0.33120728,0.29917908,0.659729
1.905886,4.877046,10.756539,-0.17904663,0.3636322,-0.058258057
-0.063627124,-1.5630462,11.235242,-0.391037,0.44352722,-1.6790466
-0.38449755,2.2512379,17.956772,-0.89437866,-0.2819214,-1.9624176
-0.18056166,-0.724319,14.1885805,-1.3242188,-0.5029602,-2.144577
0.4589594,2.77245,9.822075,-2.0416718,-1.6529236,-1.8324585
-1.3829979,-1.7611755,5.695959,-1.9585724,-1.0936584,-1.4090118
-1.224088,-0.09745988,3.159981,-1.9383392,-2.5413513,-0.71658325
0.59679335,-1.3079466,2.496444,-0.61953735,-2.026291,-0.40446472
1.8481827,2.9415293,4.418527,0.9772949,-1.1863251,0.95854187
13.020349,7.5158577,12.257474,1.4076538,-1.4744873,1.0810394
8.526412,4.5166755,20.85996,-1.3668213,-0.124801636,-0.19833374
2.5216534,4.888784,6.793887,-0.49490356,-0.5525055,-0.9658661
6.3276825,-6.7391896,19.211498,2.1671906,0.75297546,0.60487366
3.7607121,-3.9297028,5.718566,0.9432068,0.57081604,0.2741089
-0.8633532,0.5178415,10.1430235,2.66893,1.9822998,1.3782501
-2.3942013,3.1826217,5.8421526,1.9237823,1.7266388,0.66986084
1.3259101,-0.9351758,7.4415464,1.8225708,0.713562,1.2765198
0.40455595,4.892222,9.132936,1.0406799,1.2424774,0.8738556
0.11710445,2.4947617,8.90909,0.72535706,1.1077118,1.0773163
0.73876303,4.0378733,13.437963,0.77648926,0.82754517,1.1199341
1.5519909,7.5053916,11.423198,0.33493042,0.71302795,0.55960083
-2.604524,4.8637667,12.659001,-0.26161194,-0.17858887,-0.4934082
-3.317882,-0.133795,11.379039,-0.90823364,-0.37034607,-1.9634857
1.5320992,-1.9217364,19.141535,-1.4648285,-0.7437134,-2.270813
2.4828188,-2.3990326,13.872556,-1.5995789,1.4049225,-1.6545563
-0.24058855,4.1071053,6.4688034,-2.5700378,-1.1469116,-1.3871765
-1.0234494,-0.29808408,2.5074255,-1.9953308,-2.1914062,-0.6883545
-0.61094236,-2.0990236,1.778091,-1.2416534,-2.0667725,-0.70007324
